ID_ANTRENAMENT					NUME_ANTR
10001511	1	1	1	1		sedentarEctomorfLowStressSlabire
10001521	1	1	1	1		sedentarMesomorfLowStressSlabire
10001531	1	1	1	1		sedentarEndomorfLowStressSlabire
10001512	1	1	1	1		semiActivEctomorfLowStressSlabire
10001522	1	1	1	1		semiActivMesomorfLowStressSlabire
10001532	1	1	1	1		semiActivEndomorfLowStressSlabire
10001513	1	1	1	1		activEctomorfLowStressSlabire
10001523	1	1	1	1		activMesomorfLowStressSlabire
10001533	1	1	1	1		activEndomorfLowStressSlabire
10001111	1	1	1	1		sedentarEctomorfMidStressSlabire
10001121	1	1	1	1		sedentarMesomorfMidStressSlabire
10001131	1	1	1	1		sedentarEndomorfMidStressSlabire
10001112	1	1	1	1		semiActivEctomorfMidStressSlabire
10001122	1	1	1	1		semiActivMesomorfMidStressSlabire
10001132	1	1	1	1		semiActivEndomorfMidStressSlabire
10001113	1	1	1	1		activEctomorfMidStressSlabire
10001123	1	1	1	1		activMesomorfMidStressSlabire
10001133	1	1	1	1		activEndomorfMidStressSlabire
10001011	1	1	1	1		sedentarEctomorfHighStressSlabire
10001021	1	1	1	1		sedentarMesomorfHighStressSlabire
10001031	1	1	1	1		sedentarEndomorfHighStressSlabire
10001012	1	1	1	1		semiActivEctomorfHighStressSlabire
10001022	1	1	1	1		semiActivMesomorfHighStressSlabire
10001032	1	1	1	1		semiActivEndomorfHighStressSlabire
10001013	1	1	1	1		activEctomorfHighStressSlabire
10001023	1	1	1	1		activMesomorfHighStressSlabire
10001033	1	1	1	1		activEndomorfHighStressSlabire
10010511	1	1	1	1		sedentarEctomorfLowStressHipertrofie
10010521	1	1	1	1		sedentarMesomorfLowStressHipertrofie
10010531	1	1	1	1		sedentarEndomorfLowStressHipertrofie
10010512	1	1	1	1		semiActivEctomorfLowStressHipertrofie
10010522	1	1	1	1		semiActivMesomorfLowStressHipertrofie
10010532	1	1	1	1		semiActivEndomorfLowStressHipertrofie
10010513	1	1	1	1		activEctomorfLowStressHipertrofie
10010523	1	1	1	1		activMesomorfLowStressHipertrofie
10010533	1	1	1	1		activEndomorfLowStressHipertrofie
10010111	1	1	1	1		sedentarEctomorfMidStressHipertrofie
10010121	1	1	1	1		sedentarMesomorfMidStressHipertrofie
10010131	1	1	1	1		sedentarEndomorfMidStressHipertrofie
10010112	1	1	1	1		semiActivEctomorfMidStressHipertrofie
10010122	1	1	1	1		semiActivMesomorfMidStressHipertrofie
10010132	1	1	1	1		semiActivEndomorfMidStressHipertrofie
10010113	1	1	1	1		activEctomorfMidStressHipertrofie
10010123	1	1	1	1		activMesomorfMidStressHipertrofie
10010133	1	1	1	1		activEndomorfMidStressHipertrofie
10010011	1	1	1	1		sedentarEctomorfHighStressHipertrofie
10010021	1	1	1	1		sedentarMesomorfHighStressHipertrofie
10010031	1	1	1	1		sedentarEndomorfHighStressHipertrofie
10010012	1	1	1	1		semiActivEctomorfHighStressHipertrofie
10010022	1	1	1	1		semiActivMesomorfHighStressHipertrofie
10010032	1	1	1	1		semiActivEndomorfHighStressHipertrofie
10010013	1	1	1	1		activEctomorfHighStressHipertrofie
10010023	1	1	1	1		activMesomorfHighStressHipertrofie
10010033	1	1	1	1		activEndomorfHighStressHipertrofie
-1	1	1	1	1		Nu sunteti apt de sport.
